NUM;VENDEUR;ACHETEUR;PRODUIT;QUANTITE;PRIX
0;EQ5;EQ8;C_MQ_E_LeaderKakao;1000.0;1000.0;
0;EQ5;EQ8;C_HQ_BE_LeaderKakao;1000.0;1000.0;
0;EQ5;EQ8;C_BQ_ChocoSharks;1000.0;1000.0;
0;EQ5;EQ8;C_MQ_ChocoSharks;1000.0;1000.0;
0;EQ5;EQ8;C_HQ_ChocoSharks;1000.0;1000.0;
0;EQ5;EQ8;C_HQ_BE_Mirage;1000.0;1000.0;
0;EQ5;EQ8;C_HQ_Mirage;1000.0;1000.0;
0;EQ5;EQ8;C_HQ_BE_Villors;1000.0;1000.0;
0;EQ5;EQ8;C_HQ_BE_Ecacaodor;1000.0;1000.0;
0;EQ5;EQ8;C_HQ_BE_Chocoflow;1000.0;1000.0;
0;EQ5;EQ8;C_HQ_E_Villors;1000.0;1000.0;
0;EQ5;EQ8;C_HQ_E_Ecacaodor;1000.0;1000.0;
0;EQ5;EQ8;C_HQ_E_Chocoflow;1000.0;1000.0;
0;EQ5;EQ8;C_HQ_Villors;1000.0;1000.0;
0;EQ5;EQ8;C_HQ_Ecacaodor;1000.0;1000.0;
0;EQ5;EQ8;C_HQ_Chocoflow;1000.0;1000.0;
0;EQ5;EQ8;C_MQ_E_Villors;1000.0;1000.0;
0;EQ5;EQ8;C_MQ_E_Ecacaodor;1000.0;1000.0;
0;EQ5;EQ8;C_MQ_E_Chocoflow;1000.0;1000.0;
0;EQ5;EQ8;C_MQ_Villors;1000.0;1000.0;
0;EQ5;EQ8;C_MQ_Ecacaodor;1000.0;1000.0;
0;EQ5;EQ8;C_MQ_Chocoflow;1000.0;1000.0;
0;EQ5;EQ8;C_BQ_Villors;1000.0;1000.0;
0;EQ5;EQ8;C_BQ_Ecacaodor;1000.0;1000.0;
0;EQ5;EQ8;C_BQ_Chocoflow;1000.0;1000.0;
0;EQ5;EQXD;C_HQ_Ecacaodor;27819.0;1000.0;
0;EQ5;EQXD;C_MQ_E_LeaderKakao;38839.0;1000.0;
0;EQ5;EQXD;C_HQ_ChocoSharks;58350.0;1000.0;
0;EQ5;EQXD;C_HQ_BE_LeaderKakao;14477.0;1000.0;
0;EQ5;EQXD;C_MQ_ChocoSharks;16946.0;1000.0;
0;EQ5;EQXD;C_HQ_Chocoflow;37597.0;1000.0;
0;EQ5;EQXD;C_MQ_Villors;34149.0;1000.0;
0;EQ5;EQXD;C_HQ_Villors;34352.0;1000.0;
0;EQ5;EQXD;C_HQ_BE_Chocoflow;11008.0;1000.0;
0;EQ5;EQXD;C_MQ_Chocoflow;60745.0;1000.0;
0;EQ5;EQXD;C_MQ_E_Chocoflow;13276.0;1000.0;
0;EQ5;EQXD;C_HQ_E_Villors;45882.0;1000.0;
0;EQ5;EQXD;C_HQ_E_Chocoflow;31802.0;1000.0;
0;EQ5;EQXD;C_BQ_Ecacaodor;32278.0;1000.0;
0;EQ5;EQXD;C_HQ_Mirage;57397.0;1000.0;
0;EQ5;EQXD;C_BQ_Chocoflow;17333.0;1000.0;
0;EQ5;EQXD;C_HQ_BE_Villors;25052.0;1000.0;
0;EQ5;EQXD;C_HQ_E_Ecacaodor;13793.0;1000.0;
0;EQ5;EQXD;C_BQ_ChocoSharks;55807.0;1000.0;
0;EQ5;EQXD;C_MQ_E_Villors;21120.0;1000.0;
0;EQ5;EQXD;C_HQ_BE_Mirage;8189.0;1000.0;
0;EQ5;EQXD;C_MQ_Ecacaodor;22016.0;1000.0;
0;EQ5;EQXD;C_BQ_Villors;10456.0;1000.0;
0;EQ5;EQXD;C_HQ_BE_Ecacaodor;49396.0;1000.0;
0;EQ5;EQXD;C_MQ_E_Ecacaodor;40633.0;1000.0;
1;EQ5;EQ8;C_MQ_E_LeaderKakao;1000.0;1000.0;
1;EQ5;EQ8;C_HQ_BE_LeaderKakao;1000.0;1000.0;
1;EQ5;EQ8;C_BQ_ChocoSharks;1000.0;1000.0;
