Etape;Souhait EQ5;Obtenus EQ5;Souhait EQ7;Obtenus EQ7;Souhait EQ4;Obtenus EQ4;Souhait EQ6;Obtenus EQ6;Souhait EQXT;Obtenus EQXT;Souhait EQ1;Obtenus EQ1;Souhait EQ2;Obtenus EQ2;Souhait EQ3;Obtenus EQ3;Souhait EQ4;Obtenus EQ4;
0;333.0;333.0;0.0;0.0;14000.0;14000.0;10000.0;10000.0;0.0;0.0;96687.50000000001;22120.373870674182;9671.323375;2212.6261293258217;0.0;0.0;0.0;0.0;
1;899.0999999999985;899.0999999999984;0.0;0.0;0.0;0.0;1000.0;999.9999999999999;0.0;0.0;93904.62612932583;1710.0916595113965;10378.83405265985;189.00834048860187;0.0;0.0;0.0;0.0;
2;2427.5699999999997;2427.5699999999997;0.0;0.0;0.0;0.0;1000.0;1000.0;0.0;0.0;111532.03446981443;3427.5699999999997;0.0;1033.5259251003583;0.0;0.0;0.0;0.0;
3;5757.57;5757.57;0.0;0.0;0.0;0.0;0.0;1500.0;0.0;0.0;127441.96446981444;5757.57;0.0;1749.897204077517;0.0;0.0;0.0;0.0;
4;12417.57;12417.57;0.0;0.0;0.0;0.0;0.0;1500.0;0.0;0.0;141021.89446981443;12417.57;0.0;2589.391288572798;0.0;0.0;0.0;0.0;
5;19077.57;19077.57;0.0;0.0;0.0;0.0;0.0;1500.0;0.0;0.0;147941.82446981443;19077.57;0.0;4158.775389350924;0.0;0.0;0.0;0.0;
6;25737.570000000003;25737.570000000003;0.0;0.0;0.0;0.0;0.0;1500.0;0.0;0.0;148201.75446981442;25737.570000000003;0.0;4630.380147083796;0.0;0.0;0.0;0.0;
7;32397.570000000003;32397.570000000003;0.0;0.0;0.0;0.0;1500.0;1500.0;0.0;0.0;141801.6844698144;33897.57000000001;0.0;200.51989957487066;0.0;0.0;0.0;0.0;
8;35727.57000000001;35727.57000000001;0.0;0.0;0.0;0.0;1500.0;1482.274008932774;0.0;0.0;127241.6144698144;37227.57000000001;0.0;302.62764202065114;0.0;0.0;0.0;0.0;
9;39057.57000000001;39057.57000000001;0.0;0.0;0.0;0.0;1500.0;772.2742417568431;0.0;0.0;109351.5444698144;39524.04407489965;2859.4658973951373;4298.383333387685;0.0;0.0;0.0;0.0;
10;42387.57000000001;42387.57000000001;0.0;0.0;0.0;0.0;1500.0;1500.0;0.0;0.0;89165.00039491475;42137.67279592249;3702.852448646154;5993.939940865608;0.0;0.0;0.0;0.0;
11;45000.0;45000.0;0.0;0.0;0.0;0.0;1500.0;1500.0;0.0;0.0;66364.82759899227;43910.6087114272;3913.5077261578867;8200.53010668512;0.0;0.0;0.0;0.0;
12;45000.0;44468.22026798322;0.0;0.0;0.0;0.0;1500.0;1500.0;0.0;0.0;41791.718887565075;41791.718887565075;4158.775389350924;11943.72265742007;0.0;0.0;0.0;0.0;
13;45053.17797320168;23195.60590532696;0.0;0.0;0.0;0.0;1500.0;1500.0;0.0;0.0;19337.500000000004;19337.500000000004;4630.380147083796;13486.45562824146;0.0;0.0;0.0;0.0;
14;11351.757206787472;11351.757206787472;0.0;0.0;0.0;0.0;1500.0;1500.0;0.0;0.0;19337.500000000004;12651.237307212601;306.4959943339636;14019.710249640526;0.0;0.0;0.0;0.0;
15;11153.646767091792;11153.646767091792;0.0;0.0;0.0;0.0;1500.0;1500.0;0.0;0.0;26023.762692787408;12653.646767091792;0.0;14360.078554988466;0.0;0.0;0.0;0.0;
16;11354.166666666664;11354.166666666664;0.0;0.0;0.0;0.0;1500.0;1500.0;0.0;0.0;32707.61592569562;12854.166666666664;0.0;14591.538894539213;0.0;0.0;0.0;0.0;
17;11354.166666666664;11354.166666666664;0.0;0.0;0.0;0.0;1500.0;1500.0;0.0;0.0;39190.94925902896;12854.166666666664;0.0;0.0;0.0;0.0;0.0;0.0;
18;11354.166666666664;11354.166666666664;0.0;0.0;0.0;0.0;1500.0;1500.0;0.0;0.0;45674.2825923623;12854.166666666664;0.0;0.0;0.0;0.0;0.0;0.0;
19;11354.166666666664;11354.166666666664;0.0;0.0;0.0;0.0;1500.0;1500.0;0.0;0.0;52157.615925695645;12854.166666666664;0.0;0.0;0.0;0.0;0.0;0.0;
20;11354.166666666664;11354.166666666664;0.0;0.0;0.0;0.0;1500.0;1500.0;0.0;0.0;58640.94925902899;12854.166666666664;0.0;0.0;0.0;0.0;0.0;0.0;
21;11354.166666666664;11354.166666666664;0.0;0.0;0.0;0.0;1500.0;1500.0;0.0;0.0;65124.28259236233;12854.166666666664;0.0;0.0;0.0;0.0;0.0;0.0;
22;11354.166666666664;11354.166666666664;0.0;0.0;0.0;0.0;1500.0;1500.0;0.0;0.0;71607.61592569567;12854.166666666664;0.0;0.0;0.0;0.0;0.0;0.0;
23;11354.166666666664;11354.166666666664;0.0;0.0;0.0;0.0;1500.0;1500.0;0.0;0.0;78090.94925902902;12854.166666666664;0.0;0.0;0.0;0.0;0.0;0.0;
24;11354.166666666664;11354.166666666664;0.0;0.0;0.0;0.0;1500.0;1500.0;0.0;0.0;84574.28259236236;12854.166666666666;0.0;0.0;0.0;0.0;0.0;0.0;
25;11354.166666666664;11354.166666666664;0.0;0.0;0.0;0.0;1500.0;1500.0;0.0;0.0;91057.61592569569;12854.166666666664;0.0;0.0;0.0;0.0;0.0;0.0;
26;16864.288133101276;16864.288133101276;0.0;0.0;0.0;0.0;1500.0;1499.9999999999998;0.0;0.0;97540.94925902903;18061.660491080624;1634.323017492942;0.0;0.0;0.0;0.0;0.0;
27;45000.0;45000.0;0.0;0.0;0.0;0.0;1500.0;1099.6716269209153;0.0;0.0;98816.78876794841;42201.61666661232;10064.838066620383;0.0;0.0;0.0;0.0;0.0;
28;45000.0;45000.0;0.0;0.0;0.0;0.0;1500.0;1048.947212502786;0.0;0.0;75952.6721013361;40506.06005913439;11239.201103712485;0.0;0.0;0.0;0.0;0.0;
29;45000.0;45000.0;0.0;0.0;0.0;0.0;1500.0;1500.0;0.0;0.0;54784.11204220171;38299.469893314876;11730.156094105721;0.0;0.0;0.0;0.0;0.0;
30;45000.0;44999.99999999999;0.0;0.0;0.0;0.0;1500.0;1500.0;0.0;0.0;35822.14214888684;34556.277342579924;12381.244848205617;0.0;0.0;0.0;0.0;0.0;
31;45000.0;32990.14880762746;0.0;0.0;0.0;0.0;1500.0;1500.0;0.0;0.0;20603.364806306916;20603.364806306916;13486.45562824146;0.0;0.0;0.0;0.0;0.0;
32;46200.98511923725;32308.26303713774;0.0;0.0;0.0;0.0;1500.0;1500.0;0.0;0.0;19337.500000000004;19337.500000000004;14019.710249640526;0.0;0.0;0.0;0.0;0.0;
33;46389.27220820995;33697.57855498847;0.0;0.0;0.0;0.0;0.0;1500.0;0.0;0.0;19337.500000000004;19337.500000000004;14360.078554988466;0.0;0.0;0.0;0.0;0.0;
34;46269.16936532215;33929.03889453922;0.0;0.0;0.0;0.0;0.0;1500.0;0.0;0.0;19337.500000000004;19337.500000000004;14591.538894539213;0.0;0.0;0.0;0.0;0.0;
35;0.0;9681.117618501943;0.0;0.0;0.0;0.0;0.0;1500.0;0.0;0.0;19337.500000000004;9681.117618501943;71.54715773802208;0.0;0.0;0.0;0.0;0.0;
